PropertyNS,PropertyName,QualifiedType,Definition,SubstitutionGroupQualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,QualifiedProperty
j,ActivityChargeAssociation,j:ActivityChargeAssociationType,An association between an activity and a charge.,,TRUE,FALSE,,,,j:ActivityChargeAssociation
j,ActivityChargeAssociationAugmentationPoint,,An augmentation point for ActivityChargeAssociationType.,,TRUE,TRUE,,,,j:ActivityChargeAssociationAugmentationPoint
j,ActivityClearerPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who cleared information for that activity.,,TRUE,FALSE,,,,j:ActivityClearerPersonAssociation
scr,ActivityCommentText,nc:TextType,A note or comment about an activity.,,TRUE,FALSE,,,,scr:ActivityCommentText
j,ActivityCommunityServiceAssociation,j:ActivityCommunityServiceAssociationType,An association between an activity and an assignment of community service.,,TRUE,FALSE,,,,j:ActivityCommunityServiceAssociation
j,ActivityCommunityServiceAssociationAugmentationPoint,,An augmentation point for ActivityCommunityServiceAssociationType.,,TRUE,TRUE,,,,j:ActivityCommunityServiceAssociationAugmentationPoint
j,ActivityContactInformationAssociation,j:ActivityContactInformationAssociationType,An association between an activity and contact information for that activity.,,TRUE,FALSE,,,,j:ActivityContactInformationAssociation
j,ActivityContactInformationAssociationAugmentationPoint,,An augmentation point for ActivityContactInformationAssociationType.,,TRUE,TRUE,,,,j:ActivityContactInformationAssociationAugmentationPoint
nc,ActivityConveyanceAssociation,nc:ActivityConveyanceAssociationType,An association between an activity and a conveyance.,,TRUE,FALSE,,,,nc:ActivityConveyanceAssociation
nc,ActivityConveyanceAssociationAugmentationPoint,,An augmentation point for ActivityConveyanceAssociationType.,,TRUE,TRUE,,,,nc:ActivityConveyanceAssociationAugmentationPoint
j,ActivityCounselingAssociation,j:ActivityCounselingAssociationType,An association between an activity and counseling.,,TRUE,FALSE,,,,j:ActivityCounselingAssociation
j,ActivityCounselingAssociationAugmentationPoint,,An augmentation point for ActivityCounselingAssociationType.,,TRUE,TRUE,,,,j:ActivityCounselingAssociationAugmentationPoint
j,ActivityCourtAssociation,j:ActivityCourtAssociationType,An association between an activity and a court.,,TRUE,FALSE,,,,j:ActivityCourtAssociation
j,ActivityCourtAssociationAugmentationPoint,,An augmentation point for ActivityCourtAssociationType.,,TRUE,TRUE,,,,j:ActivityCourtAssociationAugmentationPoint
j,ActivityCourtOrderAssociation,j:ActivityCourtOrderAssociationType,An association between an activity and a court order.,,TRUE,FALSE,,,,j:ActivityCourtOrderAssociation
j,AbscondIndicator,niem-xs:boolean,True if person under supervision has departed secretly to evade legal process; false otherwise.,,TRUE,FALSE,,,,j:AbscondIndicator
gml,AbstractFeature,,"This abstract element serves as the head of a substitution group which may contain any elements whose content model is derived from gml:AbstractFeatureType.  This may be used as a variable in the construction of content models.   gml:AbstractFeature may be thought of as ""anything that is a GML feature"" and may be used to define variables or templates in which the value of a GML property is ""any feature"". This occurs in particular in a GML feature collection where the feature member properties contain one or multiple copies of gml:AbstractFeature respectively.",,TRUE,FALSE,,,,gml:AbstractFeature
gml,AbstractGeometry,,The AbstractGeometry element is the abstract head of the substitution group for all geometry elements of GML. This includes pre-defined and user-defined geometry elements. Any geometry element shall be a direct or indirect extension/restriction of AbstractGeometryType and shall be directly or indirectly in the substitution group of AbstractGeometry.,,TRUE,FALSE,,,,gml:AbstractGeometry
cyfs,AbuseNeglectAllegationCategoryText,nc:TextType,"A kind of allegation of abuse, sexual abuse, or neglect, provided by the referral or by the reporter at the time of investigation.",,TRUE,FALSE,,,,cyfs:AbuseNeglectAllegationCategoryText
cyfs,AbuseNeglectAllegationOriginationText,nc:TextType,"A specification of where the allegation originated, such as whether the allegation was alleged by a reporter or collected during the investigation.",,TRUE,FALSE,,,,cyfs:AbuseNeglectAllegationOriginationText
cyfs,AbuseNeglectDetailCategoryText,nc:TextType,A kind of injury suffered by the alleged victim of abuse or neglect.,,TRUE,FALSE,,,,cyfs:AbuseNeglectDetailCategoryText
cyfs,AbuseNeglectHarmAgeText,nc:TextType,"A narrative description of the age of the injury, such as may be indicated by the coloration of a bruise.",,TRUE,FALSE,,,,cyfs:AbuseNeglectHarmAgeText
cyfs,AbuseNeglectInjury,cyfs:AbuseNeglectInjuryType,A form of physical harm or damage sustained by the survivor of abuse or neglect.,,TRUE,FALSE,,,,cyfs:AbuseNeglectInjury
cyfs,AbuseNeglectInjuryAugmentationPoint,,An augmentation point for AbuseNeglectInjuryType.,,TRUE,TRUE,,,,cyfs:AbuseNeglectInjuryAugmentationPoint
cyfs,AbuseNeglectReportedIndicator,niem-xs:boolean,True if the case manager made an abuse or neglect report; false otherwise.,,TRUE,FALSE,,,,cyfs:AbuseNeglectReportedIndicator
cyfs,AbuseNeglectSeverity,,A data concept for describing the severity of abuse or neglect.,,TRUE,TRUE,,,,cyfs:AbuseNeglectSeverity
cyfs,AbuseNeglectSeverityCode,cyfs:AbuseNeglectSeverityCodeType,A severity description of each type of abuse and/or neglect on a client.,cyfs:AbuseNeglectSeverity,TRUE,FALSE,,,,cyfs:AbuseNeglectSeverityCode
cyfs,AbuseNeglectSeverityText,nc:TextType,A severity description of each type of abuse and/or neglect on a client.,cyfs:AbuseNeglectSeverity,TRUE,FALSE,,,,cyfs:AbuseNeglectSeverityText
im,AcademicProgramText,nc:TextType,A field detailing the alien students academic program.,,TRUE,FALSE,,,,im:AcademicProgramText
im,AcademicTermLengthQuantity,nc:QuantityType,A number of the estimated time (duration) of an alien students academic-term.,,TRUE,FALSE,,,,im:AcademicTermLengthQuantity
scr,AccessControlLevelCodeValue,niem-xs:integer,A number value for the access control level to be applied to the record,,TRUE,FALSE,,,,scr:AccessControlLevelCodeValue
j,AccessoryAssociation,j:SubjectPersonAssociationType,A relationship between a subject and a person.,,TRUE,FALSE,,,,j:AccessoryAssociation
scr,AccompaniedByFamilyIndicator,niem-xs:boolean,True if a subject is accompanied by a family member when entering the United States; false otherwise.,,TRUE,FALSE,,,,scr:AccompaniedByFamilyIndicator
j,AccompliceAssociation,j:SubjectPersonAssociationType,An association between an accomplice and a subject.,,TRUE,FALSE,,,,j:AccompliceAssociation
cbrn,AcknowledgementData,cbrn:AcknowledgementDataType,A set of data regarding an acknowledgement.,,TRUE,FALSE,,,,cbrn:AcknowledgementData
cbrn,AcknowledgementDataAugmentationPoint,,An augmentation point for cbrn:AcknowledgementDataType.,,TRUE,TRUE,,,,cbrn:AcknowledgementDataAugmentationPoint
scr,AcknowledgementDate,nc:DateType,A date that the request is ready for processing in the US-VISIT/IDENT system.,,TRUE,FALSE,,,,scr:AcknowledgementDate
cbrn,AcknowledgementDateTime,niem-xs:dateTime,A Date/time when an acknowledgement was generated.,,TRUE,FALSE,,,,cbrn:AcknowledgementDateTime
cbrn,AcknowledgementID,niem-xs:string,A unique identifier of an acknowledgement.,,TRUE,FALSE,,,,cbrn:AcknowledgementID
cbrn,AcknowledgingActivityName,niem-xs:string,A name of the activity that produced an acknowledgement. This property can be used to provide data for workflow coordination by the sending or receiving systems.,,TRUE,FALSE,,,,cbrn:AcknowledgingActivityName
cbrn,AcknowledgingAgency,cbrn:AcknowledgingAgencyType,An organization that is responsible for generating an acknowledgement message.,,TRUE,FALSE,,,,cbrn:AcknowledgingAgency
cbrn,AcknowledgingAgencyAugmentationPoint,,An augmentation point for cbrn:AcknowledgingAgencyType.,,TRUE,TRUE,,,,cbrn:AcknowledgingAgencyAugmentationPoint
cbrn,AcknowledgingAgencyCode,cbrncl:GNDAOrgCodeType,An organization that is responsible for generating an acknowledgement.,,TRUE,FALSE,,,,cbrn:AcknowledgingAgencyCode
nc,AcquaintanceAssociation,nc:PersonAssociationType,An association between people who recognize each other but do not know each other very well.,,TRUE,FALSE,,,,nc:AcquaintanceAssociation
biom,AcquisitionSourceAugmentationPoint,,An augmentation point for CaptureSource,,TRUE,TRUE,,,,biom:AcquisitionSourceAugmentationPoint
biom,AcquisitionSourceCategoryText,nc:TextType,A kind of biometric capture source (system name etc.).,,TRUE,FALSE,,,,biom:AcquisitionSourceCategoryText
biom,AcquisitionSourceCode,biom:AcquisitionSourceCodeType,A kind of acquisition method for the source representation,,TRUE,FALSE,,,,biom:AcquisitionSourceCode
biom,AcquisitionSourceDescriptionText,nc:TextType,A description of a vendor-specified source of an image,,TRUE,FALSE,,,,biom:AcquisitionSourceDescriptionText
cyfs,ActionRequested,,"A data concept for describing an agency's request for court action, based upon the needs of the child, youth, or family.",,TRUE,TRUE,,,,cyfs:ActionRequested
