TypeNS,TypeName,Definition,ContentStyle,SimpleQualifiedType,ParentQualifiedType,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,QualifiedType
cyfs,AbuseNeglectInjuryType,A data type for an applied augmentation for type nc:InjuryType,CCC,,nc:InjuryType,FALSE,FALSE,FALSE,,,,cyfs:AbuseNeglectInjuryType
cyfs,AbuseNeglectSeverityCodeSimpleType,A data type for describing different severity levels of abuse.,S,cyfs:AbuseNeglectSeverityCodeType,,FALSE,FALSE,FALSE,,,,cyfs:AbuseNeglectSeverityCodeSimpleType
cyfs,AbuseNeglectSeverityCodeType,A data type for describing different severity levels of abuse.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:AbuseNeglectSeverityCodeType
ansi_d20,AccidentSeverityCodeSimpleType,A data type for severity levels of an accident.,S,ansi_d20:AccidentSeverityCodeType,,FALSE,FALSE,FALSE,,,,ansi_d20:AccidentSeverityCodeSimpleType
ansi_d20,AccidentSeverityCodeType,A data type for severity levels of an accident.,CSC,,,FALSE,FALSE,FALSE,,,,ansi_d20:AccidentSeverityCodeType
cbrn,AcknowledgementDataType,A data type for information regarding an acknowledgement.,CCC,,,FALSE,FALSE,FALSE,,,,cbrn:AcknowledgementDataType
cbrn,AcknowledgingAgencyType,A data type for an Organization that is responsible for generating an acknowledgement message.,CCC,,,FALSE,FALSE,FALSE,,,,cbrn:AcknowledgingAgencyType
biom,AcquisitionSourceCodeSimpleType,A data type for a source acquisition code,S,biom:AcquisitionSourceCodeType,,FALSE,FALSE,FALSE,,,,biom:AcquisitionSourceCodeSimpleType
biom,AcquisitionSourceCodeType,A data type for a source acquisition code,CSC,,,FALSE,FALSE,FALSE,,,,biom:AcquisitionSourceCodeType
biom,AcquisitionSourceType,A data type for a source of an item,CCC,,,FALSE,FALSE,FALSE,,,,biom:AcquisitionSourceType
cyfs,ActionRequestedCodeSimpleType,A data type for the actions being requested of the court based on the types of services needed by the child.,S,cyfs:ActionRequestedCodeType,,FALSE,FALSE,FALSE,,,,cyfs:ActionRequestedCodeSimpleType
cyfs,ActionRequestedCodeType,A data type for the actions being requested of the court based on the types of services needed by the child.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:ActionRequestedCodeType
j,ActivityArrestAssociationType,A data type for an association between an activity and an arrest.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityArrestAssociationType
j,ActivityAugmentationType,A data type for additional information about an activity.,CCC,,,FALSE,FALSE,TRUE,,,,j:ActivityAugmentationType
j,ActivityCaseAssociationType,A data type for an association between an activity and a case.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCaseAssociationType
j,ActivityChargeAssociationType,A data type for an association between an activity and a charge.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityChargeAssociationType
j,ActivityCommunityServiceAssociationType,A data type for an association between an activity and an assignment of community service.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCommunityServiceAssociationType
j,ActivityContactInformationAssociationType,A data type for an association between an activity and contact information for that activity.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityContactInformationAssociationType
nc,ActivityConveyanceAssociationType,A data type for an association between an activity and a conveyance.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityConveyanceAssociationType
j,ActivityCounselingAssociationType,A data type for an association between an activity and counseling.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCounselingAssociationType
j,ActivityCourtAssociationType,A data type for an association between an activity and a court.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCourtAssociationType
j,ActivityCourtOrderAssociationType,A data type for an association between an activity and a court order.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCourtOrderAssociationType
j,ActivityCriminalOrganizationAssociationType,A data type for an association between an activity and a criminal organization.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCriminalOrganizationAssociationType
j,ActivityCustodyTransferAssociationType,A data type for an association between an activity and transfer of custody.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCustodyTransferAssociationType
nc,ActivityDocumentAssociationType,A data type for an association between an activity and a document.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityDocumentAssociationType
j,ActivityDriverLicenseAssociationType,A data type for an association between an activity and a driver license.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityDriverLicenseAssociationType
j,ActivityEmailAddressAssociationType,A data type for a relationship between an activity and an email address (e.g. harassing or threatening email).,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityEmailAddressAssociationType
j,ActivityEmployeeAssociationType,A data type for an association between an activity and an employee.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityEmployeeAssociationType
j,ActivityEvidenceAssociationType,A data type for an association between an activity and evidence.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityEvidenceAssociationType
nc,ActivityFacilityAssociationType,A data type for an association between an activity and a facility.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityFacilityAssociationType
j,ActivityFeeAssociationType,A data type for an association between an activity and a fee.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityFeeAssociationType
j,ActivityForceAssociationType,A data type for an association between an activity and a use of force.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityForceAssociationType
j,ActivityIncidentAssociationType,A data type for an association between an activity and an incident.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityIncidentAssociationType
j,ActivityInstantMessengerAssociationType,A data type for a relationship between an activity and an other contact address.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityInstantMessengerAssociationType
cyfs,ActivityInvolvedPersonAssociationAugmentationType,A data type for additional information about an activity and a person involved in that activity.,CCC,,,FALSE,FALSE,TRUE,,,,cyfs:ActivityInvolvedPersonAssociationAugmentationType
nc,ActivityItemAssociationType,A data type for an association between an activity and an item.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityItemAssociationType
j,ActivityJudgeAssociationType,A data type for an association between an activity and a judge.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityJudgeAssociationType
j,ActivityJurisdictionAssociationType,A data type for an association between an activity and a jurisdiction.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityJurisdictionAssociationType
j,ActivityLocationAssociationType,A data type for an association between an activity and a location.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityLocationAssociationType
j,ActivityNetworkAddressAssociationType,A data type for a relationship between an activity and a network address.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityNetworkAddressAssociationType
j,ActivityObligationAssociationType,A data type for an association between an activity and an obligation.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityObligationAssociationType
nc,ActivityOrganizationAssociationType,A data type for an association between an activity and an organization.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityOrganizationAssociationType
nc,ActivityPersonAssociationType,A data type for an association between an activity and a person.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityPersonAssociationType
scr,ActivityProcessCategoryCodeSimpleType,A data type for a kind of activity process.,S,scr:ActivityProcessCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityProcessCategoryCodeSimpleType
scr,ActivityProcessCategoryCodeType,A data type for a kind of activity process.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityProcessCategoryCodeType
scr,ActivityProcessClassificationType,A data type describing a kind of Screening activity process.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityProcessClassificationType
j,ActivityProgramAssociationType,A data type for an association between an activity and a program.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityProgramAssociationType
j,ActivityReferralAssociationType,A data type for an association between an activity and a referral.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityReferralAssociationType
j,ActivityReleaseAssociationType,A data type for an association between an activity and a release.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityReleaseAssociationType
scr,ActivityRequestCategoryCodeSimpleType,A data type for a kind of activity request.,S,scr:ActivityRequestCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityRequestCategoryCodeSimpleType
scr,ActivityRequestCategoryCodeType,A data type for a kind of activity request.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityRequestCategoryCodeType
scr,ActivityRequestClassificationType,A data type describing a classification of Screening activity request.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityRequestClassificationType
scr,ActivityResponseCategoryCodeSimpleType,A data type for a kind of activity response.,S,scr:ActivityResponseCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityResponseCategoryCodeSimpleType
scr,ActivityResponseCategoryCodeType,A data type for a kind of activity response.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResponseCategoryCodeType
scr,ActivityResponseClassificationType,A data type describing a classification of Screening activity response.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResponseClassificationType
scr,ActivityResultsCategoryCodeSimpleType,A data type for a kind of activity results.,S,scr:ActivityResultsCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityResultsCategoryCodeSimpleType
scr,ActivityResultsCategoryCodeType,A data type for a kind of activity results.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResultsCategoryCodeType
scr,ActivityResultsClassificationType,A data type describing a classification of Screening activity results.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResultsClassificationType
j,ActivitySanctionAssociationType,A data type for an association between an activity and a sanction.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivitySanctionAssociationType
nc,ActivityScheduleAssociationType,A data type for an association between an activity and its schedule.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityScheduleAssociationType
j,ActivitySentenceComputationAssociationType,A data type for a relationship between an activity and a sentence computation.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivitySentenceComputationAssociationType
j,ActivityServiceCallAssociationType,A data type for an association between an activity and a service call.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityServiceCallAssociationType
nc,ActivitySiteAssociationType,A data type for an association between an activity and a site.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivitySiteAssociationType
j,ActivitySubjectAssociationType,A data type for an association between an activity and a subject.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivitySubjectAssociationType
j,ActivityTelephoneNumberAssociationType,A data type for a relationship between an activity and a telephone number.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityTelephoneNumberAssociationType
nc,ActivityType,"A data type for a single or set of related actions, events, or process steps.",CCC,,,FALSE,FALSE,FALSE,,,,nc:ActivityType
j,ActivityUnitAssociationType,A data type for an association between an activity and a unit.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityUnitAssociationType
j,ActivityVictimAssociationType,A data type for an association between an activity and a victim.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityVictimAssociationType
j,ActivityWarrantAssociationType,A data type for an association between an activity and a warrant.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityWarrantAssociationType
j,ActivityWitnessAssociationType,A data type for an association between an activity and a witness.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityWitnessAssociationType
it,AdditionalDocumentType,A data type for an applied augmentation for type nc:DocumentType,CCC,,nc:DocumentType,FALSE,FALSE,FALSE,,,,it:AdditionalDocumentType
it,AdditionalInformationType,A data type for an applied augmentation for type nc:DocumentType,CCC,,nc:DocumentType,FALSE,FALSE,FALSE,,,,it:AdditionalInformationType
