QualifiedType,QualifiedProperty,MinOccurs,MaxOccurs,Definition
cyfs:AbuseNeglectInjuryType,cyfs:AbuseNeglectHarmAgeText,0,unbounded,
cyfs:AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryAugmentationPoint,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:AcknowledgingActivityName,0,unbounded,
cbrn:AcknowledgementDataType,nc:SystemUserName,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:TraversalOperatingMode,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:AcknowledgementDateTime,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:AcknowledgementID,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:CredentialsAuthentication,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:ScanIdentifierData,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:AcknowledgingAgency,0,unbounded,
cbrn:AcknowledgementDataType,cbrn:AcknowledgementDataAugmentationPoint,0,unbounded,
cbrn:AcknowledgingAgencyType,cbrn:AcknowledgingAgencyCode,0,unbounded,
cbrn:AcknowledgingAgencyType,nc:OrganizationName,0,unbounded,
cbrn:AcknowledgingAgencyType,nc:OrganizationIdentification,0,unbounded,
cbrn:AcknowledgingAgencyType,cbrn:AcknowledgingAgencyAugmentationPoint,0,unbounded,
biom:AcquisitionSourceType,biom:AcquisitionSourceCategoryText,0,unbounded,
biom:AcquisitionSourceType,biom:AcquisitionSourceDescriptionText,0,unbounded,
biom:AcquisitionSourceType,biom:AcquisitionSourceAugmentationPoint,0,unbounded,
j:ActivityArrestAssociationType,nc:Activity,0,unbounded,
j:ActivityArrestAssociationType,j:Arrest,0,unbounded,
j:ActivityArrestAssociationType,j:ActivityArrestAssociationAugmentationPoint,0,unbounded,
j:ActivityAugmentationType,j:CaseLinkage,0,unbounded,
j:ActivityAugmentationType,j:Narrative,0,unbounded,
j:ActivityAugmentationType,j:CaseNumberText,0,unbounded,
j:ActivityAugmentationType,j:ActivityDocumentServer,0,unbounded,
j:ActivityAugmentationType,j:ActivityDocumentValidator,0,unbounded,
j:ActivityAugmentationType,j:ActivityOfficial,0,unbounded,
j:ActivityCaseAssociationType,nc:Activity,0,unbounded,
j:ActivityCaseAssociationType,nc:Case,0,unbounded,
j:ActivityCaseAssociationType,j:ActivityCaseAssociationAugmentationPoint,0,unbounded,
j:ActivityChargeAssociationType,nc:Activity,0,unbounded,
j:ActivityChargeAssociationType,j:Charge,0,unbounded,
j:ActivityChargeAssociationType,j:ActivityChargeAssociationAugmentationPoint,0,unbounded,
j:ActivityCommunityServiceAssociationType,nc:Activity,0,unbounded,
j:ActivityCommunityServiceAssociationType,j:CommunityService,0,unbounded,
j:ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationAugmentationPoint,0,unbounded,
j:ActivityContactInformationAssociationType,nc:Activity,0,unbounded,
j:ActivityContactInformationAssociationType,nc:ContactInformation,0,unbounded,
j:ActivityContactInformationAssociationType,nc:Person,0,unbounded,
j:ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationAugmentationPoint,0,unbounded,
nc:ActivityConveyanceAssociationType,nc:Activity,0,unbounded,
nc:ActivityConveyanceAssociationType,nc:Conveyance,0,unbounded,
nc:ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationAugmentationPoint,0,unbounded,
j:ActivityCounselingAssociationType,nc:Activity,0,unbounded,
j:ActivityCounselingAssociationType,j:Counseling,0,unbounded,
j:ActivityCounselingAssociationType,j:ActivityCounselingAssociationAugmentationPoint,0,unbounded,
j:ActivityCourtAssociationType,nc:Activity,0,unbounded,
j:ActivityCourtAssociationType,j:Court,0,unbounded,
j:ActivityCourtAssociationType,j:ActivityCourtAssociationAugmentationPoint,0,unbounded,
j:ActivityCourtOrderAssociationType,nc:Activity,0,unbounded,
j:ActivityCourtOrderAssociationType,j:CourtOrder,0,unbounded,
j:ActivityCourtOrderAssociationType,j:Subject,0,unbounded,
j:ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationAugmentationPoint,0,unbounded,
j:ActivityCriminalOrganizationAssociationType,nc:Activity,0,unbounded,
j:ActivityCriminalOrganizationAssociationType,j:CriminalOrganization,0,unbounded,
j:ActivityCriminalOrganizationAssociationType,nc:ActivityInvolvement,0,unbounded,
j:ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationAugmentationPoint,0,unbounded,
j:ActivityCustodyTransferAssociationType,nc:Activity,0,unbounded,
j:ActivityCustodyTransferAssociationType,j:CustodyTransfer,0,unbounded,
j:ActivityCustodyTransferAssociationType,j:Subject,0,unbounded,
j:ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationAugmentationPoint,0,unbounded,
nc:ActivityDocumentAssociationType,nc:Activity,0,unbounded,
nc:ActivityDocumentAssociationType,nc:Document,0,unbounded,
nc:ActivityDocumentAssociationType,nc:ActivityDocumentAssociationAugmentationPoint,0,unbounded,
j:ActivityDriverLicenseAssociationType,nc:Activity,0,unbounded,
j:ActivityDriverLicenseAssociationType,j:DriverLicense,0,unbounded,
j:ActivityDriverLicenseAssociationType,nc:Person,0,unbounded,
j:ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationAugmentationPoint,0,unbounded,
j:ActivityEmailAddressAssociationType,nc:Activity,0,unbounded,
j:ActivityEmailAddressAssociationType,nc:MessageID,0,unbounded,
j:ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationAugmentationPoint,0,unbounded,
